Department,Subject,Course,Instructor,A,B,C,D,F,IP,IX,NP,P,RD,W,Total
,,ECE    45,JOACHIM S L,20,6,1,,4,,,,,,5,36
,,,PARISE W A,9,6,3,,2,,,,,,2,22
,,ECE    45 Total,,29,12,4,,6,,,,,,7,58
,,ECE    46,ELAM E J,18,1,3,1,1,,,,,,2,26
,,,HUFF G F,21,4,1,1,3,,1,,,,1,32
,,ECE    46 Total,,39,5,4,2,4,,1,,,,3,58
,,ECE    48,KHOKHA E W,10,3,,,,,,,,,2,15
,,ECE    48 Total,,10,3,,,,,,,,,2,15
,,ECE    49,JOACHIM S L,10,1,,,,,,,,,2,13
,,ECE    49 Total,,10,1,,,,,,,,,2,13
,,ECE    51,HEIMANN R Y,12,3,1,,2,,,,,,2,20
,,ECE    51 Total,,12,3,1,,2,,,,,,2,20
,,ECE    64,ANDREWS T D,16,7,2,1,3,,,,,,,29
,,,POURROY D M,23,9,2,,,,,,,,2,36
,,ECE    64 Total,,39,16,4,1,3,,,,,,2,65
,,ECE    71,MCGRATH M T,13,8,3,,2,,,,1,,1,28
,,ECE    71 Total,,13,8,3,,2,,,,1,,1,28
,ECE Total,,,642,220,102,31,65,,5,,2,,98,1165
,EDUC,EDUC   12,PEREZ‐FERNANDEZ L,7,1,,,,,,,,,4,12
,,EDUC   12 Total,,7,1,,,,,,,,,4,12
,EDUC Total,,,7,1,,,,,,,,,4,12
English,ENGL,ENGL    1,ADAMS J J,2,3,11,,4,,,,,,4,24
,,,AGHABEGIAN DIANA E,3,2,1,3,,,,,,,10,19
,,,ALLEN J R,2,3,5,1,5,,,,,,8,24
,,,ARIEFF D E,12,5,,1,3,,,,,,,21
,,,BARHAM A C,1,3,3,3,13,,,,,,1,24
,,,BLACKWELL N,3,10,3,6,6,,,,,,17,45
,,,BOSTICK J D,4,7,6,14,,,,,,,13,44
,,,BRIGSTOCKE J W,5,12,3,,19,,4,,,,21,64
,,,CAGGIANO S E,3,8,10,7,5,,,,,,17,50
,,,CARDENAS T P,13,4,,2,,,,,,,5,24
,,,CONSTANTIN G N,17,5,1,,1,,,,,,2,26
,,,CRAMER T R,23,10,6,2,6,,,,,,8,55
,,,DEL GEORGE D K,25,11,2,2,8,,,,,,15,63
,,,DEMPSEY A L,24,1,1,1,,,,,,,,27
,,,DOSSETT G H,6,16,15,,10,,,,,,16,63
,,,DOUCET W J,25,21,7,4,1,,10,,,,19,87
,,,DRISCOLL L V,10,9,4,8,16,,,1,,,16,64
,,,DURAN A,6,4,6,,22,,,,,,14,52
,,,ENGELMANN D S,21,13,,,2,,,,,,8,44
,,,ESPINOSA A A,5,12,10,6,3,,,,,,11,47
,,,GARCIA M S,8,3,2,3,11,,,,,,,27
,,,GARNICA A M,3,11,8,4,8,,,,,,17,51
,,,GONZALEZ S G,5,1,,2,5,,,,,,3,16
,,,GRIFFY W J,23,11,9,7,11,,3,,2,,22,88
,,,HALL J E,10,8,2,,5,,,,,,10,35
,,,HAVENNER J K,5,7,3,3,3,,,,,,2,23
,,,IRELAND S P,22,7,7,1,2,,,,1,,8,48
,,,KARRON R,5,4,4,,6,,,,,,4,23
,,,KAUFFMAN S R,45,4,1,,1,,1,,,,5,57
,,,KEMPER D E,7,3,2,1,2,,,,,,8,23
,,,KRUG J M,7,14,9,4,6,,,,,,9,49
,,,LANDAU D M E,6,7,3,5,2,,,,,,2,25
,,,LIVANIS L,2,3,,3,4,,,,,,8,20
,,,MARKARIAN E A,22,20,11,21,,,,,,,7,81
,,,MARTINEZ‐GIL C,19,8,3,,5,,,,,,9,44
,,,MATTESSICH S N,17,5,4,,2,,,,,,3,31
,,,MEYER E E,3,3,,2,4,,1,,,,14,27
,,,MISAGHI A M,16,12,9,2,3,,,,,,13,55
,,,MURPHY E M,14,7,5,9,,,,,,,11,46
,,,NELSON LAUNA A,3,6,3,,6,,,,,,6,24
,,,NELSON P M,8,7,,1,4,,,,,,4,24
,,,OBA R K,5,4,3,4,,,,,,,4,20
,,,PACCHIOLI J J,5,7,5,4,15,,,,,,14,50
,,,PADILLA M R,12,8,8,3,3,,,,,,21,55
,,,PAIK‐SCHOENBERG J,6,6,9,2,9,,,,,,29,61
,,,PEEPLES R A,3,2,9,,6,,1,,,,4,25
,,,PRITCHARD L A,12,9,5,7,6,,1,,,,9,49
,,,RAJSKI B,35,20,7,,9,,3,1,,,14,89
,,,ROBINSON B,22,16,6,5,4,,2,,,,2,57
,,,ROSS M S,5,3,4,,,,,,,,6,18
,,,SANDOVAL A,2,4,2,1,3,,,,,,12,24
,,,SCHNITZLER A P,8,3,,,,,,,,,13,24
,,,STIRLING M S,,1,2,1,3,,,,,,7,14
,,,SURENDRANATH L C,7,2,3,3,2,,,,,,3,20
,,,TATERI J S,,2,2,5,7,,,,,,3,19
,,,TODD G T,6,8,8,20,,,,,,,31,73
,,,VISHWANADHA H,1,3,8,4,14,,,,,,22,52
,,,WANG L Z,2,9,3,,8,,,,,,2,24
,,,WEATHERFORD K C,2,13,13,1,9,,,,,,13,51
,,,WRIGHT N E,9,9,12,8,1,,,,,,11,50
,,,YOUNG R U,3,7,10,1,2,,,,,,2,25
,,ENGL    1 Total,,605,446,298,197,315,,26,2,3,,592,2484
,,ENGL    2,ADAMS J J,13,14,12,3,2,,,,,,8,52
,,,AGHABEGIAN DIANA E,3,8,6,,1,,,,,,3,21
,,,ANDERSON E,11,11,8,3,5,,,,,,6,44
,,,ARIEFF D E,17,11,8,1,6,,,,,,5,48
,,,ARMS E D,20,2,2,,1,,,,,,1,26
,,,BLACKWELL N,14,4,2,1,1,,,,,,4,26
,,,BONAR H S,27,19,10,1,2,,,,,,16,75
,,,BRIGSTOCKE J W,9,22,2,,5,,3,,,,9,50
,,,BUMBERA N J,6,10,4,1,1,,,,,,3,25
,,,BURAK C D,22,14,4,2,,,,,,,4,46
,,,CAGGIANO S E,2,14,6,,1,,,,,,2,25
,,,CARDENAS T P,26,2,,,,,,,,,1,29
,,,COLMER I H,10,5,2,,1,,,,,,6,24
,,,CONSTANTIN G N,42,4,3,,1,,3,,,,2,55
,,,CRAMER T R,19,21,1,,4,,,,,,3,48
,,,DAVIS C V,3,10,,2,4,,2,,,,3,24
,,,DEL GEORGE D K,11,7,2,,,,,,,,3,23
,,,DESAI D H,15,17,8,3,,,,,1,,6,50
,,,DIXON M J,19,9,,2,8,,,,,,12,50
,,,DOSSETT G H,11,14,,,,,,,,,,25
,,,DOUCET W J,10,10,3,3,,,8,,,,3,37
,,,DRISCOLL L V,9,5,1,1,2,,,,,,10,28
,,,EDELMANN C,9,12,8,5,2,,,,,,9,45
,,,ENGELMANN D S,30,14,2,,,,,,,,8,54
,,,ESPINOSA A A,12,16,12,5,4,,,,,,5,54
,,,FUCHS C A,13,20,11,2,4,,,,,,20,70
,,,GARCIA M S,7,11,2,3,2,,,,,,8,33
,,,GILDNER B J,14,29,19,3,,,,,,,10,75
,,,GONZALEZ S G,13,5,4,1,2,,,,,,3,28
,,,GOODE S S,10,26,4,,,,,,,,5,45
,,,GRIFFY W J,7,8,4,,1,,1,,,,4,25
,,,GUSTIN M J,14,21,7,6,3,,,,,,9,60
,,,HAMADA M J,24,15,7,2,1,,,,,,14,63
,,,HANSEN N C,19,5,1,,,,,,,,,25
,,,HASSMAN T,12,11,4,3,2,,,,,,9,41
,,,HERTZ U L,4,15,7,1,5,,,,,,13,45
,,,HOTSINPILLER MATTHEW,,8,6,,,,,,,,3,17
,,,IRELAND S P,22,2,7,,,,,,,,1,32
,,,JOHNSON D J,9,20,10,3,9,,,,,,2,53
,,,KARRON R,17,13,6,,6,,,,,,8,50
,,,KAUFFMAN S R,28,6,,1,,,,,,,1,36
,,,KEMPER D E,17,16,5,4,6,,,,,,,48
,,,KRUSOE J A,5,10,9,5,,,,,,,17,46
,,,LANDAU D M E,4,7,16,10,3,,,,,,31,71
,,,LYNCH J J,23,8,6,,3,,,,,,2,42
,,,MANDIA C P,6,3,1,1,3,,1,,,,5,20
,,,MATTESSICH S N,43,27,12,1,5,,,,,,6,94
,,,MEEKS C,12,13,6,6,3,,,,,,10,50
,,,MEIR N K,32,12,11,1,2,,,,,,6,64
,,,MEYER E E,11,6,2,,3,,,,,,3,25
,,,MISAGHI A M,30,13,7,1,5,,,,1,,11,68
,,,MOTOIKE K J,21,23,12,1,3,,,,,,21,81
,,,OBA R K,7,10,4,2,,,,,,,2,25
,,,OVERALL S J,8,34,13,9,,,,,,,10,74
,,,PACCHIOLI J J,2,10,9,2,2,,,,,,1,26
,,,PADILLA M R,34,17,3,,2,,,,,,3,59
,,,PAIK‐SCHOENBERG J,5,4,4,2,5,,,,,,5,25
,,,PHILLIPS L K,19,22,16,6,,,1,,,,5,69
,,,PRITCHARD L A,26,13,12,2,1,,,,,,3,57
,,,RAJSKI B,11,3,1,1,4,,1,,,,4,25
,,,REICHLE R E,4,7,3,3,2,,,,,,4,23
,,,REMMES J,4,5,6,2,,,,,,,3,20
,,,ROBINSON B,26,13,5,,2,,2,,,,3,51
,,,SANDOVAL A,8,7,4,2,3,,,,,,3,27
,,,SCHNITZLER A P,8,7,4,1,1,,,,,,6,27
,,,SOSNER J A,10,10,8,7,7,,,,,,7,49
,,,SURENDRANATH L C,13,3,1,,1,,,,1,,5,24
,,,VISHWANADHA H,,,6,1,3,,,,,,4,14
,,,WILL L J,13,11,9,2,4,,4,,,,2,45
,,,YOUNG W H,1,4,4,3,4,,,,,,4,20
,,ENGL    2 Total,,1013,840,411,138,166,,26,1,3,,444,3042
,,ENGL    3 Total,,23,4,,,,,1,,,,5,33
,,ENGL    4,ROSS M S,12,8,4,1,3,,,,,,2,30
,,ENGL    4 Total,,12,8,4,1,3,,,,,,2,30
,,ENGL    5,DRISCOLL L V,19,10,3,2,,,,,,,1,35
,,,REMMES J,2,8,4,1,,,,,,,8,23
,,ENGL    5 Total,,21,18,7,3,,,,,,,9,58
,,ENGL    6,DOSSETT G H,11,13,5,,1,,2,,,,2,34
,,ENGL    6 Total,,11,13,5,,1,,2,,,,2,34
,,ENGL    7,PACCHIOLI J J,11,9,7,,1,,,,,,6,34
,,ENGL    7 Total,,11,9,7,,1,,,,,,6,34
,,ENGL    8,ARMS E D,20,5,3,,1,,,,,,2,31
,,ENGL    8 Total,,20,5,3,,1,,,,,,2,31
,,ENGL    9,VISHWANADHA H,2,2,2,1,5,,,,,,8,20
,,ENGL    9 Total,,2,2,2,1,5,,,,,,8,20
,,ENGL   20,DAVISON  IV G S,17,11,14,14,3,,,,,,17,76
,,,JAMES K R,10,16,6,4,2,,,,,,25,63
,,,MILLER N A,,2,4,3,5,,,,,,8,22
,,,O'HARA D M,3,4,2,2,2,,,,,,5,18
,,ENGL   20 Total,,30,33,26,23,12,,,,,,55,179
,,ENGL   24,EDELMANN C,3,4,3,1,,,,,,,3,14
,,,ROBERTS P S,4,1,1,,2,,,,,,3,11
,,ENGL   24 Total,,7,5,4,1,2,,,,,,6,25
,,ENGL   28,ADAMS J J,,,,,,,,4,16,,4,24
,,,ALLEN J R,,,,,,,,6,10,,8,24
,,,BARHAM A C,,,,,,,,16,7,,1,24
,,,BLACKWELL N,,,,,,,,12,16,,17,45
,,,BOSTICK J D,,,,,,,,14,17,,13,44
,,,CAGGIANO S E,,,,,,,,12,21,,17,50
,,,CARDENAS T P,,,,,,,,2,17,,5,24
,,,DURAN A,,,,,,,,22,16,,14,52
,,,ESPINOSA A A,,,,,,,,9,27,,11,47
,,,GARCIA M S,,,,,,,,14,13,,,27
,,,GARNICA A M,,,,,,,,12,22,,17,51
,,,KRUG J M,,,,,,,,10,30,,9,49
,,,LIVANIS L,,,,,,,,7,5,,8,20
,,,MARKARIAN E A,,,,,,,,21,53,,7,81
,,,NELSON LAUNA A,,,,,,,,6,12,,6,24
,,,NELSON P M,,,,,,,,5,15,,4,24
,,,PEEPLES R A,,,,,,,1,6,14,,4,25
,,,PRITCHARD L A,,,,,,,1,8,11,,5,25
,,,SANDOVAL A,,,,,,,,4,8,,12,24
,,,SCHNITZLER A P,,,,,,,,,11,,13,24
,,,TATERI J S,,,,,,,,12,4,,3,19
,,,TODD G T,,,,,,,,20,22,,31,73
,,,WANG L Z,,,,,,,,8,13,,2,23
,,,WEATHERFORD K C,,,,,,,,10,28,,13,51
,,,WRIGHT N E,,,,,,,,9,30,,11,50
,,,YOUNG R U,,,,,,,,3,20,,2,25
,,ENGL   28 Total,,,,,,,,2,258,473,,239,972
,,ENGL   30A,DAVIS C V,14,6,,,,,,,,,2,22
,,,KRUSOE J A,,18,,,,,,,2,,7,27
,,,PADILLA M R,32,9,,,4,,,,,,8,53
,,ENGL   30A Total,,46,33,,,4,,,,2,,17,102
,,ENGL   30B,DAVIS C V,3,1,,,,,,,,,,4
,,,KRUSOE J A,,11,,,,,,,1,,5,17
,,,PADILLA M R,14,,,,,,,,,,1,15
,,ENGL   30B Total,,17,12,,,,,,,1,,6,36
,,ENGL   31,CAGGIANO S E,5,5,2,2,1,,,,,,2,17
,,ENGL   31 Total,,5,5,2,2,1,,,,,,2,17
,,ENGL   34,ROBINSON B,10,3,3,,,,,,,,2,18
,,ENGL   34 Total,,10,3,3,,,,,,,,2,18
,,ENGL   39,BORETZ M S,19,3,1,,,,2,,,,4,29
,,ENGL   39 Total,,19,3,1,,,,2,,,,4,29
,,ENGL   50,HIOUREAS E C,19,10,1,1,1,,,,,,2,34
,,ENGL   50 Total,,19,10,1,1,1,,,,,,2,34
,,ENGL   51,REMMES J,2,4,1,1,,,,,1,,1,10
,,ENGL   52,DEL GEORGE D K,3,,,,1,,,,,,1,5
,,ENGL   52 Total,,3,,,,1,,,,,,1,5
,,ENGL   57,MARTINEZ‐GIL C,14,1,,,2,,,,,,3,20
,,ENGL   57 Total,,14,1,,,2,,,,,,3,20
,ENGL Total,,,1890,1454,775,368,515,,59,261,483,,1408,7213
,REL ST,REL ST 51,REMMES J,,5,1,1,,,,,,,7,14
,,REL ST 51 Total,,,5,1,1,,,,,,,7,14
,,REL ST 52,DEL GEORGE D K,13,3,2,,2,,,,,,2,22
,,REL ST 52 Total,,13,3,2,,2,,,,,,2,22
,REL ST Total,,,13,8,3,1,2,,,,,,9,36
English Total,,,,1903,1462,778,369,517,,59,261,483,,1417,7249
ESL,ESL,ESL    10G,ELLIS T L,3,13,2,3,3,,,,,,3,27
,,,KOENIG GOLOMBEK L K,5,6,5,2,,,,,,,3,21
,,,YENSER S J,2,3,7,4,2,,1,,,,2,21
,,ESL    10G Total,,10,22,14,9,5,,1,,,,8,69
,,ESL    10W,ALLIE S M,1,12,5,2,2,,,,,,3,25
,,,KUGEL N,4,8,2,1,1,,,,,,1,17
,,,KUNIMOTO T A,3,9,4,4,2,,,,,,,22
,,,STIVENER M,2,6,6,2,,,,,,,5,21
,,ESL    10W Total,,10,35,17,9,5,,,,,,9,85
,,ESL    11A,GRAZIADEI K N,1,2,10,4,2,,,,1,,4,24
,,,JAFFE S R,2,8,4,3,1,,,,,,2,20
,,,KAHN A B,1,11,9,,,,,,4,,,25
,,,KIM E,2,3,7,5,1,,,,3,,4,25
,,,LEVITT D J,,2,9,1,4,,,,,,9,25
,,,LODMER E L,1,4,5,6,7,,,1,,,3,27
,,,MUKAI M,2,6,7,3,1,,,,,,3,22
,,ESL    11A Total,,9,36,51,22,16,,,1,8,,25,168
,,ESL    11B,BORGARDT M L,1,3,6,2,,,,,1,,2,15
,,,IBARAKI A T,2,6,7,,2,,,1,3,,,21
,,,KAHN A B,1,5,7,,1,,,1,10,,,25
,,,KIM E,1,2,3,,1,,,,5,,,12
,,,MARASCO J A,1,3,8,2,1,,,,2,,2,19
,,,WOLFE R A,2,3,5,2,5,,,2,1,,,20
,,ESL    11B Total,,10,28,46,9,10,,,4,24,,5,136
,,ESL    14A,MARASCO J A,5,6,3,,1,,,,,,3,18
,,ESL    14A Total,,5,6,3,,1,,,,,,3,18
,,ESL    14B,MARASCO J A,9,4,1,1,2,,,,,,2,19
,,,SPECTOR A L,13,1,2,,,,,,,,2,18
,,ESL    14B Total,,22,5,3,1,2,,,,,,4,37
,,ESL    15,BOSTWICK L H,13,3,,,,,,,,,5,21
,,ESL    15 Total,,13,3,,,,,,,,,5,21
,,ESL    16A,DOUGLASS J T,6,6,3,1,2,,,,,,3,21
,,ESL    16A Total,,6,6,3,1,2,,,,,,3,21
,,ESL    16B,DOUGLASS J T,5,4,2,1,3,,,,,,5,20
,,ESL    16B Total,,5,4,2,1,3,,,,,,5,20
,,ESL    16C,DOUGLASS J T,5,1,1,1,,,,,1,,2,11
,,,MARUTYAN N,4,5,4,1,5,,,,,,4,23
,,ESL    16C Total,,9,6,5,2,5,,,,1,,6,34
,,ESL    17,STIVENER M,8,2,2,1,2,,,,,,1,16
,,ESL    17 Total,,8,2,2,1,2,,,,,,1,16
,,ESL    20A,IBARAKI A T,15,14,7,1,,,,,1,,12,50
,,ESL    20A Total,,15,14,7,1,,,,,1,,12,50
,,ESL    20B,HARCLERODE J E,12,2,,,1,,,,,,,15
,,,NAM V S,6,5,5,1,1,,,,1,,1,20
,,ESL    20B Total,,18,7,5,1,2,,,,1,,1,35
,,ESL    21A,ALLIE S M,4,4,4,,1,,,,6,,4,23
,,,ASHLEIGH S B,5,18,7,1,4,,,1,10,,3,49
,,,BORGARDT M L,1,17,7,5,3,,,3,10,,3,49
,,,COMBS J B,7,4,2,,,,,,1,,,14
,,,DELLAPASQUA L C,3,9,2,4,,,,1,2,,1,22
,,,GRAZIADEI K N,1,5,8,1,1,,,1,4,,3,24
,,,IBARAKI A T,,3,6,2,2,,,4,4,,,21
,,,JAFFE S R,1,8,5,1,1,,,2,15,,,33
,,,LODMER E L,3,5,9,,1,,,3,10,,3,34
,,,TRACEY M P,2,3,3,2,,,,1,13,,1,25
,,ESL    21A Total,,29,83,56,18,13,,,16,76,,18,309
,,ESL    21B,HARDACREDECERQU B L,,4,14,,4,,,3,7,,,32
,,,JAFFE S R,4,4,4,1,1,,,1,18,,2,35
,,,KUNIMOTO T A,1,1,5,,2,,,3,13,,,25
,,,LEVEQUE V F,7,9,12,,1,,,2,39,,5,75
,,,LODMER E L,2,6,4,1,1,,,1,10,,2,27
,,,TRACEY M P,7,6,9,5,1,,,2,15,,3,48
,,,WOLFE R A,7,7,11,4,3,,,3,14,,1,50
,,ESL    21B Total,,28,37,59,11,13,,,15,116,,13,292
,,ESL    23,GRAZIADEI K N,9,3,2,1,,,,,,,3,18
,,ESL    23 Total,,9,3,2,1,,,,,,,3,18
,,ESL    28,IBARAKI A T,4,2,4,2,1,,,,,,4,17
,,ESL    28 Total,,4,2,4,2,1,,,,,,4,17
,ESL Total,,,210,299,279,89,80,,1,36,227,,125,1346
ESL Total,,,,210,299,279,89,80,,1,36,227,,125,1346
Health Sciences,HEALTH,HEALTH 61,REES D M,15,6,10,,,,,,,,8,39
,,HEALTH 61 Total,,15,6,10,,,,,,,,8,39
,HEALTH Total,,,15,6,10,,,,,,,,8,39
,NURSNG,NURSNG  1,ANGEL V M,1,20,17,1,,,,,,,1,40
,,NURSNG  1 Total,,1,20,17,1,,,,,,,1,40
,,NURSNG  1L,COREA I O,,,,,,,,,10,,,10
,,,MAYORGA A,,,,,,,,1,9,,,10
,,,MONTGOMERY L R,,,,,,,,,10,,,10
,,,ORTEGA M M,,,,,,,,,9,,1,10
,,NURSNG  1L Total,,,,,,,,,1,38,,1,40
,,NURSNG  2,KHOJA A M,12,24,2,,,,,,,,,38
,,NURSNG  2 Total,,12,24,2,,,,,,,,,38
,,NURSNG  2L,CARBAJAL E,,,,,,,,,10,,,10
,,,HIRST V M,,,,,,,,,10,,,10
,,,ISLAS V I,,,,,,,,,9,,,9
,,,KHOJA A M,,,,,,,,,9,,,9
,,NURSNG  2L Total,,,,,,,,,,38,,,38
,,NURSNG 16,KHOJA A M,,,,,,,,1,7,,,8
,,NURSNG 17,FRIEDMAN M H,12,19,15,1,1,,1,,,,19,68
,,NURSNG 17 Total,,12,19,15,1,1,,1,,,,19,68
,,NURSNG 20,WILLIAMS E J,,14,21,1,2,,,,,,,38
,,NURSNG 20 Total,,,14,21,1,2,,,,,,,38
,,NURSNG 20L,ABELEW S D,,,,,,,,1,7,,,8
,,,HIRST V M,,,,,,,,2,6,,,8
,,,KHOJA A M,,,,,,,,,8,,,8
,,,MARKEY D J,,,,,,,,,8,,,8
,,,SMITH J M,,,,,,,,,6,,,6
,,NURSNG 20L Total,,,,,,,,,3,35,,,38
,,NURSNG 25,LASTRAPE K,1,15,18,1,,,,,,,,35
,,NURSNG 25 Total,,1,15,18,1,,,,,,,,35
,,NURSNG 25L,BANKS C A,,,,,,,,,6,,,6
,,,LASTRAPE K,,,,,,,,,14,,,14
,,,PEREZ W A,,,,,,,,,9,,,9
,,,RISINGER L A,,,,,,,,1,5,,,6
,,NURSNG 25L Total,,,,,,,,,1,34,,,35
,,NURSNG 28,SHORT A D,27,8,,,,,,,,,,35
,,NURSNG 28 Total,,27,8,,,,,,,,,,35
,,NURSNG 30,SHORT A D,4,13,10,,,,,,,,,27
,,NURSNG 30 Total,,4,13,10,,,,,,,,,27
,,NURSNG 30L,LASTRAPE K,,,,,,,,,6,,,6
,,,OKONKWO N N,,,,,,,,,7,,,7
,,,SHORT A D,,,,,,,,,6,,,6
,,,WILLIAMS E J,,,,,,,,,8,,,8
,,NURSNG 30L Total,,,,,,,,,,27,,,27
,,NURSNG 35,ANGEL V M,,18,12,1,,,,,,,,31
,,NURSNG 35 Total,,,18,12,1,,,,,,,,31
,,NURSNG 35L,DIAZ C Y,,,,,,,,,10,,,10
,,,FLORES B B,,,,,,,,1,5,,,6
,,,JAMALPANAH S,,,,,,,,,7,,,7
,,,MAYORGA A,,,,,,,,,8,,,8
,,NURSNG 35L Total,,,,,,,,,1,30,,,31
,,,WILLIAMS E J,14,8,1,1,,,,,,,1,25
,,NURSNG 36 Total,,30,12,3,2,3,,,,,,7,57
,,NURSNG 40,LUU K H,12,20,,,,,,,,,,32
,,NURSNG 40 Total,,12,20,,,,,,,,,,32
,,NURSNG 40L,ESTRELLA D J,,,,,,,,,16,,,16
,,,SCARLET A,,,,,,,,,16,,,16
,,NURSNG 40L Total,,,,,,,,,,32,,,32
,,NURSNG 45,VALCIN‐LEWIS F,1,10,21,1,,,,,,,,33
,,NURSNG 45 Total,,1,10,21,1,,,,,,,,33
,,NURSNG 45L,SMITH D L,,,,,,,,1,16,,,17
,,,VALCIN‐LEWIS F,,,,,,,,,16,,,16
,,NURSNG 45L Total,,,,,,,,,1,32,,,33
,,NURSNG 50,WILLIAMS E J,10,6,16,,,,,,,,,32
,,NURSNG 50 Total,,10,6,16,,,,,,,,,32
,,NURSNG 50L,MONTGOMERY L R,,,,,,,,,9,,,9
,,,VALCIN‐LEWIS F,,,,,,,,,8,,,8
,,,WILLIAMS E J,,,,,,,,,15,,,15
,,NURSNG 50L Total,,,,,,,,,,32,,,32
,NURSNG Total,,110,179,135,8,6,,1,8,305,,28,780,
,RES TH,RES TH  1,SANTANA S A,9,4,,,1,,,,,,4,18
,,RES TH  1 Total,,9,4,,,1,,,,,,4,18
,,RES TH 29,SANTANA S A,8,6,1,,,,,,,,,15
,,RES TH 29 Total,,8,6,1,,,,,,,,,15
,,RES TH 30,SANTANA S A,7,7,,,,,,,,,,14
,,RES TH 30 Total,,7,7,,,,,,,,,,14
,,RES TH 70,SANTANA S A,2,4,8,,,,,,,,,14
,,RES TH 70 Total,,2,4,8,,,,,,,,,14
,RES TH Total,,,26,21,9,,1,,,,,,4,61
Health Sciences Total,,,,151,206,154,8,7,,1,8,305,,40,880
History,ENVRN,ENVRN  14,BORGHEI S C,7,8,2,1,,,,,,,2,20
,,,KAWAGUCHI L A,4,,2,2,4,,,,,,9,21
,,ENVRN  14 Total,,11,8,4,3,4,,,,,,11,41
,,ENVRN  32,FOUSER D C,6,8,5,3,4,,,,,,1,27
,ENVRN Total,,,17,16,9,6,8,,,,,,12,68
,HIST,HIST    1,BENNETT H M,21,15,8,4,8,,,1,,,9,66
,,,KENT M L,10,18,2,,,,,,,,9,39
,,,MAYNC T M,11,9,5,,8,,,,,,8,41
,,,STILES C L,43,31,13,7,13,,2,1,4,,18,132
,,,VERLET M C,5,3,5,3,6,,,,,,10,32
,,HIST    1 Total,,90,76,33,14,35,,2,2,4,,54,310
,,HIST    2,BENNETT H M,9,2,7,3,3,,,,,,11,35
,,,BYRNE D,14,28,12,6,11,,,,1,,8,80
,,,KENT M L,10,7,,2,,,,,,,4,23
,,,MANOFF R J,15,6,,,3,,,,,,5,29
,,,MAYNC T M,9,6,2,1,8,,2,,,,4,32
,,,STILES C L,21,10,1,,1,,,,1,,5,39
,,,VERLET M C,3,3,2,2,5,,,,,,10,25
,,HIST    2 Total,,81,62,24,14,31,,2,,2,,47,263
,,HIST    4,STILES C L,32,6,,,2,,,,1,,5,46
,,HIST    4 Total,,32,6,,,2,,,,1,,5,46
,,HIST    5,GARCIA R M,12,12,5,,4,,,,,,1,34
,,HIST    5 Total,,12,12,5,,4,,,,,,1,34
,,HIST   10,AMERIAN‐DONNELL S M,14,22,24,5,,,,,,,14,79
,,,CRUZ J S,21,12,15,3,8,,1,,,,19,79
,,,KAWAGUCHI L A,5,18,33,10,22,,2,,1,,63,154
,,,MARINO J M,20,55,19,3,12,,,1,4,,22,136
,,,MYERS B E,23,14,2,,1,,,,,,5,45
,,,SLAUGHTER M A,14,15,8,1,2,,1,,,,2,43
,,HIST   10 Total,,97,136,101,22,45,,4,1,5,,125,536
,,HIST   11,AMERIAN‐DONNELL S M,30,14,10,4,2,,1,,,,9,70
,,,BOLELLI D,18,17,2,,2,,,,,,4,43
,,,KEVILLE T J,26,27,14,3,15,,,1,2,,18,106
,,,LYNCH S H,25,40,16,5,13,,,,2,,23,124
,,,VANBENSCHOTEN W D,8,10,13,7,5,,1,1,1,,21,67
,,HIST   11 Total,,107,108,55,19,37,,2,2,5,,75,410
,,HIST   12,BOLELLI D,9,18,5,,5,,,,1,,7,45
,,,MANOFF R J,22,16,7,,3,,1,,,,4,53
,,,MCMILLEN R,14,7,6,1,4,,,,,,3,35
,,,MORENO M,31,25,10,5,7,,,2,,,18,98
,,,VANBENSCHOTEN W D,11,7,2,,6,,,,2,,12,40
,,HIST   12 Total,,98,106,48,13,34,,2,2,4,,57,364
,,HIST   13,WILKINSON JR E C,18,8,1,,1,,3,,1,,10,42
,,HIST   13 Total,,18,8,1,,1,,3,,1,,10,42
,,HIST   14,BORGHEI S C,6,5,,,2,,,,,,2,15
,,,KAWAGUCHI L A,,1,2,,3,,,,1,,11,18
,,HIST   14 Total,,6,6,2,,5,,,,1,,13,33
,,HIST   16,CLAYBORNE D,6,6,1,3,18,,,,,,11,45
,,,MCMILLEN R,27,5,1,1,3,,,,,,2,39
,,HIST   16 Total,,33,11,2,4,21,,,,,,13,84
,,HIST   20,WILKINSON JR E C,14,9,1,,2,,2,1,,,3,32
,,HIST   20 Total,,14,9,1,,2,,2,1,,,3,32
,,HIST   22,YEGANEHSHAKIB R,19,7,5,,1,,,,1,,4,37
,,HIST   22 Total,,19,7,5,,1,,,,1,,4,37
,,HIST   25,REILLY B J,19,5,5,,3,,,1,,,8,41
,,HIST   25 Total,,19,5,5,,3,,,1,,,8,41
,,HIST   28,BENNETT H M,9,7,4,1,5,,,,,,1,27
,,HIST   28 Total,,9,7,4,1,5,,,,,,1,27
,,HIST   32,FOUSER D C,9,4,2,,1,,,,,,,16
,,HIST   32 Total,,9,4,2,,1,,,,,,,16
,,HIST   33,REILLY B J,14,11,12,4,12,,,,1,,12,66
,,HIST   33 Total,,14,11,12,4,12,,,,1,,12,66
,,HIST   34,REILLY B J,8,7,11,6,24,,,,,,19,75
,,,YEGANEHSHAKIB R,12,2,3,,1,,,,,,6,24
