"","","","","","","","","","","","","",""
"",MEIR N K,9,4,4,,,,,,,,5,22
"",MENTON K T,24,19,11,1,8,,2,,1,,16,82
"",MEYER E E,21,15,10,8,3,,,,,,13,70
"",MISAGHI A M,51,23,3,,2,,,,,,15,94
"",MOTOIKE K J,8,4,9,2,14,,1,,,,12,50
"",MURPHY E M,19,8,7,4,,,,,,,5,43
"",NASON N B,12,12,10,7,2,,,,1,,14,58
"",NELSON LAUNA A,12,5,7,,8,,1,,,,20,53
"",NELSON P M,15,2,2,,6,,,,,,11,36
"",NICHOLS E,4,11,8,2,6,,,,,,17,48
"",NOLAN-COFFMAN M P,7,19,6,3,3,,,,,,11,49
"",OBA R K,9,17,9,6,,,,,,,9,50
"",O'HARA D M,8,6,1,2,4,,,,,,4,25
"",ORR P L,6,13,10,2,7,,,,,,15,53
"",OVERALL S J,6,6,2,3,,,,,,,6,23
"",PACCHIOLI J J,8,14,8,6,12,,,,,,19,67
"",PADILLA M R,21,16,5,1,7,,,,,,10,60
"",PAIK-SCHOENBERG J,17,18,13,5,12,,,,,,16,81
"",PEEPLES R A,11,11,9,6,8,,,,,,8,53
"",PHILLIPS L K,17,16,10,15,,,,,,,14,72
"",PRITCHARD L A,20,16,10,4,4,,3,,,,14,71
"",RAJSKI B,52,27,4,,3,,,,,,9,95
"",ROBINSON B,36,21,18,3,8,,1,,,,8,95
"",SANDOVAL A,10,11,4,6,14,,,1,,,6,52
"",SCHNITZLER A P,8,21,4,4,2,,,,,,19,58
"",SOSNER J A,3,1,8,5,4,,,,,,4,25
"",STIRLING M S,9,13,12,7,4,,,,,,21,66
"",SURENDRANATH L C,8,3,3,5,1,,,,,,4,24
"",TATERI J S,6,10,7,3,14,,,,,,9,49
"",TODD G T,10,10,11,25,2,,,,,,22,80
"",VISHWANADHA H,1,6,21,14,2,,,,,,19,63
"",WANG L Z,3,7,12,6,11,,,,,,11,50
"",WEATHERFORD K C,3,8,12,7,11,,,,,,12,53
"",WILL L J,8,10,,,2,,,,,,3,23
"",WINKLER K D,24,23,9,2,1,,,,,,20,79
"",WOODRUFF S K,6,4,14,6,6,,,,,,10,46
"",WRIGHT N E,5,15,22,,4,,,,,,6,52
"",YOUNG R U,2,12,8,2,8,,,,,,14,46
"",YOUNG W H,4,14,11,6,9,,1,,,,15,60
ENGL    1 Total,,1390,1215,777,384,518,,25,2,4,,953,5268
ENGL    2,AGHABEGIAN DIANA E,7,7,3,,,,,,,,4,21
"",ANDERSON E,20,12,8,3,5,,1,,,,5,54
"",ARMS E D,13,7,4,,,,,,,,1,25
"",AVALOS RO,21,6,8,5,,,,,,,6,46
"",BELL S L,31,9,3,1,1,,,,,,6,51
"",BLACKWELL N,1,3,2,2,3,,,,,,5,16
"",BONAR H S,14,21,2,,5,,,,,,7,49
"",BORETZ M S,9,2,3,2,2,,,,,,4,22
"",BRIGSTOCKE J W,10,15,3,,11,,1,,,,15,55
"",BURAK C D,21,17,,1,,,,,,,7,46
"",CAGGIANO S E,7,11,2,,3,,,,,,2,25
"",CONSTANTIN G N,36,14,3,,,,1,,,,1,55
"",CRAMER T R,21,14,4,1,,,,,,,6,46
"",DAVIS C V,16,10,10,,6,,,,,,3,45
"",DEL GEORGE D K,11,8,1,,1,,,,,,1,22
"",DESAI D H,4,9,2,,,,,,,,5,20
"",DOSSETT G H,12,6,6,,1,,,,,,2,27
"",DOUCET W J,17,7,4,3,,,7,,,,5,43
"",DRISCOLL L V,7,12,,4,1,,,,,,4,28
"",ENGELMANN D S,26,20,1,,2,,,,,,3,52
"",ESPINOSA A A,7,6,6,,2,,,,,,4,25
"",FUCHS C A,6,2,5,2,6,,,,,,2,23
"",GILDNER B J,5,19,13,6,,,,,,,6,49
"",GOODE S S,10,32,,,,,,,,,3,45
"",GUSTIN M J,4,8,2,1,2,,,,,,2,19
"",HALL J E,32,12,,,,,1,,,,5,50
"",HASSMAN T,9,5,2,6,5,,1,,,,11,39
"",HAVENNER J K,18,2,1,,,,,,,,4,25
"",HERBERT S,13,8,1,,1,,,,,,4,27
"","HOTSINPILLER
MATTHEW",10,16,4,,3,,2,,,,13,48
"",IRELAND S P,12,6,3,,,,,,,,3,24
"",JANAKOS L D,5,5,1,,3,,,,,,8,22
"",KARRON R,17,18,2,,3,,,,,,10,50
"",KAUFFMAN S R,31,3,,,,,1,,,,,35
"",LANDAU D M E,5,7,16,2,1,,,,,,16,47
"",LONGO J P,7,5,1,1,1,,,,,,22,37
"",LYNCH J J,10,2,2,,1,,,,,,2,17
"",MARTINEZ-GIL C,26,2,4,,,,,,,,,32
"",MATTESSICH S N,11,2,3,1,4,,,,,,2,23
"",MEEKS C,14,8,9,2,5,,,,,,12,50
"",MEIR N K,14,13,4,1,4,,,,,,9,45
"",MEYER E E,8,6,6,2,,,,,,,4,26
"",MISAGHI A M,6,7,3,2,1,,,,,,5,24
"",MOTOIKE K J,9,6,6,2,1,,1,,,,3,28
"",MURPHY E M,13,1,1,,,,,,,,8,23
"",OBA R K,5,8,1,6,,,,,,,4,24
"",OVERALL S J,11,25,3,3,2,,,,,,7,51
"",PACCHIOLI J J,6,8,8,,,,,,,,2,24
"",PADILLA E,15,17,13,,3,,,,,,5,53
"",PADILLA M R,23,11,3,,4,,,,,,9,50
"",PRITCHARD L A,9,16,10,1,3,,1,,,,6,46
"",RAJSKI B,17,6,1,,1,,,,,,1,26
"",REICHLE R E,4,11,11,2,13,,,,,,4,45
"",REMMES J,3,5,7,3,3,,1,,,,11,33
"",ROBINSON B,14,4,,3,,,,,,,1,22
"",ROSS M S,14,10,13,2,,,,,,,4,43
"",SOSNER J A,11,3,2,2,2,,,,,,5,25
"",VISHWANADHA H,2,,6,1,1,,,,,,5,15
"",WILL L J,16,13,6,1,3,,,,,,7,46
ENGL    2 Total,,795,569,254,76,130,,18,,,,333,2175
ENGL    3,HUMPHREY T F,18,,,,,,1,,,,3,22
ENGL    3 Total,,18,,,,,,1,,,,3,22
ENGL    4,HERBERT S,15,3,3,,4,,,,,,3,28
ENGL    4 Total,,15,3,3,,4,,,,,,3,28
ENGL    5,DRISCOLL L V,28,6,2,2,,,,,,,1,39
"",ROSS M S,7,5,5,2,,,,,,,7,26
ENGL    5 Total,,35,11,7,4,,,,,,,8,65
ENGL    6 Total,,9,12,,,2,,,,,,2,25
ENGL    7,PACCHIOLI J J,6,15,5,,1,,,,,,5,32
ENGL    7 Total,,6,15,5,,1,,,,,,5,32
ENGL    8,ARMS E D,20,7,,,,,1,,,,1,29
ENGL    8 Total,,20,7,,,,,1,,,,1,29
ENGL   10,EDELMANN C,17,1,2,,,,,,,,1,21
ENGL   10 Total,,17,1,2,,,,,,,,1,21
ENGL   15,DOSSETT G H,7,6,4,,1,,,,,,5,23
ENGL   15 Total,,7,6,4,,1,,,,,,5,23
ENGL   20,ALLEN J S/JAMES K R,8,6,2,3,4,,,,,,2,25
"","BARHAM A C/JAMES K
R",3,4,4,,6,,,,,,5,22
"",DAVISON  IV G S,10,14,27,,26,,,,,,12,89
"",FUCHS C A/JAMES K R,5,5,3,2,1,,,,,,8,24
"",JAMES K R/TATERI J S,,2,5,1,7,,,,,,8,23
"",MANDIA C P,25,10,4,4,2,,,,,,6,51
"",MILLER N A,3,8,9,5,11,,,,,,18,54
"",O'HARA D M,3,11,1,6,,,,,,,6,27
ENGL   20 Total,,57,60,55,21,57,,,,,,65,315
ENGL   23,ROBERTS P S,1,5,3,1,1,,,,1,,17,29
ENGL   23 Total,,1,5,3,1,1,,,,1,,17,29
ENGL   24,MEYER E E,4,3,5,,1,,,,1,,4,18
ENGL   24 Total,,4,3,5,,1,,,,1,,4,18
ENGL   26,REMMES J,2,2,,,,,,,,,1,5
ENGL   26 Total,,2,2,,,,,,,,,1,5
ENGL   28,ADAMS J J,,,,,,,,14,32,,6,52
"",ALLEN J R,,,,,,,,8,10,,7,25
"",BARHAM A C,,,,,,,,17,27,,6,50
"",BOSTICK J D,,,,,,,,16,19,,13,48
"",BUMBERA N J,,,,,,,,4,10,,8,22
"",CARDENAS T P,,,,,,,,2,47,,3,52
"",DURAN A,,,,,,,,10,12,,4,26
"",GARCIA M S,,,,,,,,7,16,,4,27
"",GARNICA A M,,,,,,,,14,23,,15,52
"",GONZALEZ S G,,,,,,,,10,31,,18,59
"",GRIFFY W J,,,,,,,,12,38,,27,77
"",HAMADA M J,,,,,,,,3,36,,10,49
"",HANSEN N C,,,,,,,,6,17,,1,24
"",HIOUREAS E C,,,,,,,,9,35,,11,55
"",KOZAK J P,,,,,,,,4,16,,3,23
"",KRUG J M,,,,,,,,5,43,,2,50
"",LIVANIS L,,,,,,,,15,24,,11,50
"",MARKARIAN E A,,,,,,,,14,66,,12,92
"",NELSON LAUNA A,,,,,,,1,8,24,,20,53
"",NELSON P M,,,,,,,,6,19,,11,36
"",NICHOLS E,,,,,,,,8,23,,17,48
"",O'HARA D M,,,,,,,,6,15,,4,25
"",ORR P L,,,,,,,,7,13,,9,29
"",PAIK-SCHOENBERG J,,,,,,,,8,10,,6,24
"",PEEPLES R A,,,,,,,,14,31,,8,53
"",SANDOVAL A,,,,,,,,21,25,,6,52
"",SCHNITZLER A P,,,,,,,,6,33,,19,58
"",TATERI J S,,,,,,,,9,11,,5,25
"",TODD G T,,,,,,,,27,31,,22,80
"",WANG L Z,,,,,,,,17,22,,11,50
"",WEATHERFORD K C,,,,,,,,18,23,,12,53
"",WOODRUFF S K,,,,,,,,12,24,,10,46
"",WRIGHT N E,,,,,,,,4,42,,6,52
"",YOUNG R U,,,,,,,,10,22,,14,46
ENGL   28 Total,,,,,,,,1,372,888,1,351,1613
ENGL   30A,DOUCET W J,15,,,1,,,,,,,8,24
"",KRUSOE J A,,13,,,,,,,,,10,23
"",PADILLA M R,24,4,2,,,,,,,,7,37
ENGL   30A Total,,39,17,2,1,,,,,,,25,84
ENGL   30B,DOUCET W J,4,,,,,,,,,,1,5
"",PADILLA M R,15,2,2,,,,,,,,2,21
ENGL   30B Total,,19,15,2,,,,,,1,,7,44
ENGL   31,CAGGIANO S E,5,7,2,1,4,,1,,,,3,23
ENGL   31 Total,,5,7,2,1,4,,1,,,,3,23
ENGL   49,VISHWANADHA H,,2,1,2,3,,2,,,,9,19
ENGL   49 Total,,,2,1,2,3,,2,,,,9,19
ENGL   50,STERR S D,18,6,5,,,,,,,,3,32
ENGL   50 Total,,18,6,5,,,,,,,,3,32
ENGL   52,DEL GEORGE D K,6,2,,,1,,,,,,2,11
ENGL   52 Total,,6,2,,,1,,,,,,2,11
ENGL   53,ESPINOSA A A,4,4,,1,2,,2,,,,10,23
ENGL   53 Total,,4,4,,1,2,,2,,,,10,23
ENGL   84W,KLEMP R M,,,,,,,,,13,,3,16
ENGL   84W Total,,,,,,,,,,13,,3,16
HUM    26,REMMES J,,4,4,2,1,,,,,,5,16
HUM    26 Total,,,4,4,2,1,,,,,,5,16
REL ST 52,DEL GEORGE D K,14,5,1,1,,,,,,,,21
REL ST 52 Total,,14,5,1,1,,,,,,,,21
"",,2481,1971,1132,494,726,,51,374,908,1,1819,9957
ESL    10G,BORGARDT M L,2,6,8,2,1,,,,,,,19
"",ELLIS T L,1,10,4,3,2,,,,,,,20
"",KOENIG GOLOMBEK L K,4,9,5,1,2,,,,,,4,25
"",KUNIMOTO T A,1,11,8,1,,,,,,,4,25
"",YENSER S J,2,7,7,,2,,,,,,1,19
ESL    10G Total,,10,43,32,7,7,,,,,,9,108
ESL    10W,ALLIE S M,4,12,7,1,2,,,,,,1,27
"",KIM E,2,9,9,2,,,,,,,2,24
"",KUGEL N,2,7,2,1,2,,,,,,1,15
"",LEVEQUE V F,1,7,5,5,,,,,1,,1,20
"",STIVENER M,1,9,9,,4,,1,,,,,24
ESL    10W Total,,10,44,32,9,8,,1,,1,,5,110
ESL    11A,GRAZIADEI K N,4,6,7,2,2,,,,,,1,22
"",JAFFE S R,3,13,14,12,4,,,,2,,4,52
"",KAHN A B,3,7,10,4,,,,,1,,1,26
"",LEVITT D J,2,2,11,,3,,,,,,7,25
"",LODMER E L,,7,9,2,3,,,1,3,,1,26
"",SPECTOR A L,6,3,11,2,2,,,,,,1,25
ESL    11A Total,,22,44,66,24,16,,,1,6,,17,196
ESL    11B,ALLIE S M,5,5,9,2,,,,2,3,,,26
"",DELLAPASQUA L C,1,10,7,2,2,,,,1,,1,24
"",IBARAKI A T,3,5,7,1,3,,,1,2,,2,24
"",KAHN A B,3,4,5,1,1,,,4,7,,,25
"",LEVITT D J,,7,5,,4,,,1,,,2,19
"",TORREZ P J,1,6,8,3,,,,1,5,,,24
ESL    11B Total,,13,37,41,9,10,,,9,18,,5,142
ESL    14A,MARASCO J A,5,11,4,,1,,,,,,2,23
"",SPECTOR A L,10,6,,,,,,,,,2,18
ESL    14A Total,,15,17,4,,1,,,,,,4,41
ESL    14B,MARASCO J A,14,9,3,1,1,,,,1,,1,30
ESL    14B Total,,14,9,3,1,1,,,,1,,1,30
ESL    15,BOSTWICK L H,19,5,,1,1,,,,,,1,27
ESL    15 Total,,19,5,,1,1,,,,,,1,27
ESL    16A,DOUGLASS J T,7,3,,,3,,,,1,,5,19
ESL    16A Total,,7,3,,,3,,,,1,,5,19
ESL    16B,DOUGLASS J T,9,16,2,1,2,,,,,,2,32
ESL    16B Total,,9,16,2,1,2,,,,,,2,32
ESL    16C,DOUGLASS J T,12,5,3,,1,,,1,1,,5,28
ESL    16C Total,,12,5,3,,1,,,1,1,,5,28
ESL    17,STIVENER M,14,4,2,,,,,,,,3,23
ESL    17 Total,,14,4,2,,,,,,,,3,23
ESL    20A,IBARAKI A T,24,22,11,1,4,,,,,,3,65
ESL    20A Total,,24,22,11,1,4,,,,,,3,65
ESL    20B,GILL A M,5,9,6,1,2,,,,3,,,26
"",HARCLERODE J E,7,3,2,,3,,,,,,2,17
ESL    20B Total,,12,12,8,1,5,,,,3,,2,43
"",BORGARDT M L,1,8,4,4,,,,1,7,,1,26
"",COMBS J B,16,10,7,1,1,,,,6,,1,42
"",GRAZIADEI K N,6,10,6,3,2,,,7,14,,1,49
"","HARDACREDECERQU B
L",2,4,9,5,11,,,6,2,,6,45
"",IBARAKI A T,1,3,5,1,,,,2,10,,3,25
"",JAFFE S R,2,13,5,3,,,,,2,,,25
"",JO C J,1,13,13,6,1,,,1,12,,1,48
"",KIM E,,5,5,2,5,,,1,4,,2,24
"",LODMER E L,1,5,7,5,,,,7,7,,4,36
"",SAMOKHINA N Y,,12,3,1,,,,1,7,,1,25
"",TRACEY M P,2,7,5,4,2,,,,5,,,25
"",WOLFE R A,3,8,8,2,5,,,11,11,,5,53
"",YENSER S J,4,9,6,2,,,,1,1,,1,24
ESL    21A Total,,40,115,87,39,27,,,38,101,,26,473
ESL    21B,ASHLEIGH S B,1,5,3,1,1,,,,12,,1,24
"",DELLAPASQUA L C,4,5,6,,3,,,,6,,,24
"",JAFFE S R,6,5,6,4,,,,,4,,,25
"",JO C J,2,4,3,,,,,2,13,,,24
"",KUNIMOTO T A,,3,3,,,,,3,15,,1,25
"",LEVEQUE V F,,3,4,4,,,,3,11,,,25
"",LODMER E L,4,8,4,2,2,,,1,8,,4,33
"",MARUTYAN N,,5,6,2,2,,,2,6,,1,24
"",SAMOKHINA N Y,,5,3,,,,1,1,10,,1,21
"",TRACEY M P,3,10,6,5,1,,,3,13,,2,43
"",WOLFE R A,1,2,2,,,,,4,15,,1,25
ESL    21B Total,,21,55,46,18,9,,1,19,113,,11,293
ESL    23,GRAZIADEI K N,8,4,2,1,,,,,,,1,16
ESL    23 Total,,8,4,2,1,,,,,,,1,16
ESL    28,ASHLEIGH S B,8,5,6,,2,,,,1,,1,23
"",IBARAKI A T,5,5,,,1,,,,,,3,14
ESL    28 Total,,13,10,6,,3,,,,1,,4,37
"",,263,445,345,112,98,,2,68,246,,104,1683
HEALTH 61 Total,,13,10,1,,,,,,,,9,33
NURSNG 10,ANGEL V M,,15,20,,3,,,,,,,38
NURSNG 10 Total,,,15,20,,3,,,,,,,38
NURSNG 10L,ANGEL V M,,,,,,,,1,9,,,10
"",ISLAS V I,,,,,,,,1,9,,,10
"",MAYORGA A,,,,,,,,,8,,,8
"",SMITH D L,,,,,,,,1,9,,,10
NURSNG 10L Total,,,,,,,,3,35,,,38,
NURSNG 15,KHOJA A M,1,25,9,,,,,,,,,35
NURSNG 15 Total,,1,25,9,,,,,,,,,35
NURSNG 15L,COHEN A H,,,,,,,,,9,,,9
"",ISLAS V I,,,,,,,,,9,,,9
"",KHOJA A M,,,,,,,,,9,,,9
"",ORTEGA M M,,,,,,,,,8,,,8
NURSNG 15L Total,,,,,,,,,35,,,35,
NURSNG 16,KHOJA A M,,,,,,,,,17,,,17
NURSNG 16 Total,,,,,,,,,,17,,,17
NURSNG 17,FRIEDMAN M H,12,17,14,2,6,,,,,,20,71
NURSNG 17 Total,,12,17,14,2,6,,,,,,20,71
NURSNG 20,STOVALL K,,11,16,5,1,,,,,,1,34
NURSNG 20 Total,,,11,16,5,1,,,,,,1,34
NURSNG 20L,KHOJA A M,,,,,,,,1,7,,1,9
"",ORTEGA M M,,,,,,,,2,7,,,9
"",SMITH J M,,,,,,,,1,5,,,6
"",STOVALL K,,,,,,,,1,9,,,10
NURSNG 20L Total,,,,,,,,5,28,,1,34,
NURSNG 25,STOVALL K,,5,22,,,,,,,,,27
NURSNG 25 Total,,,5,22,,,,,,,,,27
NURSNG 25L,BANKS C A,,,,,,,,,4,,,4
"",PEREZ W A,,,,,,,,,9,,,9
"",RISINGER L A,,,,,,,,,4,,,4
"",STOVALL K,,,,,,,,,10,,1,11
NURSNG 25L Total,,,,,,,,,27,,1,28,
NURSNG 28 Total,,25,2,,,,,,,,,,27
NURSNG 30,SHORT A D,3,20,11,1,,,,,,,,35
NURSNG 30 Total,,3,20,11,1,,,,,,,,35
NURSNG 30L,DIAZ C Y,,,,,,,,,10,,,10
"",GALARAGA E,,,,,,,,,9,,,9
"",SHORT A D,,,,,,,,,6,,,6
"",WILLIAMS E J,,,,,,,,1,9,,,10
NURSNG 30L Total,,,,,,,,1,34,,,35,
NURSNG 35,ANGEL V M,,16,16,4,,,,,,,,36
NURSNG 35 Total,,,16,16,4,,,,,,,,36
NURSNG 35L,DIAZ C Y,,,,,,,,1,9,,1,11
"",FLORES B B,,,,,,,,1,7,,,8
"",JAMALPANAH S,,,,,,,,2,7,,,9
"",MAYORGA A,,,,,,,,,9,,,9
NURSNG 35L Total,,,,,,,,4,32,,1,37,
NURSNG 36,SHORT A D,13,14,2,1,1,,,,,,4,35
"",WILLIAMS E J,18,9,4,,1,,,,,,2,34
NURSNG 36 Total,,31,23,6,1,2,,,,,,6,69
NURSNG 40,LUU K H,14,8,,,,,,,,,,22
NURSNG 40 Total,,14,8,,,,,,,,,,22
NURSNG 40L,ESTRELLA D J,,,,,,,,,14,,1,15
"",LUU K H,,,,,,,,,8,,,8
NURSNG 40L Total,,,,,,,,,22,,1,23,
NURSNG 45,VALCIN F,,12,9,,,,,,,,,21
NURSNG 45 Total,,,12,9,,,,,,,,,21
NURSNG 45L,SMITH D L,,,,,,,,,9,,,9
"",VALCIN F,,,,,,,,,12,,,12
NURSNG 45L Total,,,,,,,,,21,,,21,
NURSNG 50,WILLIAMS E J,8,7,8,,,,,,,,,23
NURSNG 50 Total,,8,7,8,,,,,,,,,23
NURSNG 50L,GODAWA K S,,,,,,,,,8,,,8
"",WILLIAMS E J,,,,,,,,,15,,,15
NURSNG 50L Total,,,,,,,,,23,,,23,
RES TH  1 Total,,8,3,2,1,2,,,,,,1,17
RES TH  2,SAHAM R J,2,9,5,2,2,,,,,,3,23
RES TH  2 Total,,2,9,5,2,2,,,,,,3,23
RES TH 60,SANTANA S A,1,3,10,2,3,,,,,,3,22
RES TH 60 Total,,1,3,10,2,3,,,,,,3,22
"",,118,186,149,18,19,,,13,274,,47,824
ENVRN  14,BORGHEI S C,6,5,3,,1,,,,,,1,16
"",KAWAGUCHI L A,1,1,,1,8,,,,,,7,18
ENVRN  14 Total,,7,6,3,1,9,,,,,,8,34
ENVRN  32,FOUSER D C,4,8,5,,1,,,,,,3,21
ENVRN  32 Total,,4,8,5,,1,,,,,,3,21
HIST    1,BENNETT H M,12,7,7,2,5,,,,,,10,43
"",BYRNE D,26,24,5,4,10,,,,,,12,81
"",DRAGONI M A,10,15,5,2,5,,,,,,6,43
"",FOUSER D C,5,8,8,5,16,,,1,1,,6,50
"",KENT M L,9,12,3,2,,,,,,,4,30
"",STILES C L,73,39,10,2,8,,,,2,,2,136
"",THOMASSON B A,8,11,9,2,3,,,,,,9,42
HIST    1 Total,,143,116,47,19,47,,,1,3,,49,425
HIST    2,BENNETT H M,17,17,6,2,15,,,,1,,22,80
"",BYRNE D,15,12,6,1,7,,,,,,,41
"",KENT M L,11,8,6,2,,,,,,,3,30
"",STILES C L,24,7,1,1,1,,,,,,4,38
"",VERLET M C,4,6,8,3,10,,,,1,,12,44
HIST    2 Total,,71,50,27,9,33,,,,2,,41,233
HIST    3,STILES C L,17,17,,1,2,,,,1,,4,42
HIST    3 Total,,17,17,,1,2,,,,1,,4,42
HIST    6,GARCIA R M,13,17,3,,2,,2,,,,3,40
HIST    6 Total,,13,17,3,,2,,2,,,,3,40
HIST   10,"AMERIAN-DONNELL S
M",21,35,15,2,1,,,,1,,13,88
"",CRUZ J S,32,11,10,6,10,,,,,,15,84
"",KAWAGUCHI L A,4,20,27,8,46,,,1,,,46,152
"",MAYNC T M,7,17,9,2,2,,,,,,3,40
"",SLAUGHTER M A,13,16,5,,4,,1,,,,7,46
"",WILKINSON JR E C,13,22,2,,2,,3,,1,,2,45
HIST   10 Total,,95,133,76,22,72,,4,1,2,,95,500
HIST   11,"AMERIAN-DONNELL S
M",28,19,9,,5,,2,,,,7,70
"",BORGHEI S C,6,13,3,,,,1,,,,9,32
"",KEVILLE T J,26,31,13,6,12,,,,1,,12,101
"",LYNCH S H,21,22,10,2,3,,,,3,,14,75
"",MORENO M,33,40,23,17,9,,,,4,,37,163
HIST   11 Total,,114,125,58,25,29,,3,,8,,79,441
HIST   12,BOLELLI D,28,33,15,,7,,,,3,,5,91
"",CHI J S,13,36,16,1,12,,,,,,7,85
"",MANOFF R J,23,21,24,4,12,,3,,1,,7,95
"",MAYNC T M,5,12,12,3,6,,,,,,4,42
"",VANBENSCHOTEN W D,21,7,6,3,13,,,,,,17,67
HIST   12 Total,,90,109,73,11,50,,3,,4,,40,380
HIST   13,MCMILLEN R,5,8,1,2,4,,,,1,,16,37
"",WILKINSON JR E C,26,3,1,1,2,,,,,,5,38
HIST   13 Total,,31,11,2,3,6,,,,1,,21,75
HIST   14,BORGHEI S C,5,7,1,,3,,,,,,3,19
"",KAWAGUCHI L A,2,1,2,2,10,,,,,,4,21
HIST   14 Total,,7,8,3,2,13,,,,,,7,40
HIST   16,CLAYBORNE D,12,4,4,2,,,1,,,,19,42
"",MCMILLEN R,22,6,7,1,4,,,,,,3,43
HIST   16 Total,,34,10,11,3,4,,1,,,,22,85
HIST   20,VANBENSCHOTEN W D,10,3,2,,4,,,,,,13,32
HIST   20 Total,,10,3,2,,4,,,,,,13,32
HIST   22,YEGANEHSHAKIB R,18,4,6,,6,,,,,,5,39
HIST   22 Total,,18,4,6,,6,,,,,,5,39
HIST   24,REILLY B J,8,1,2,3,5,,,,,,8,27
HIST   28,BENNETT H M,18,8,2,,4,,,,,,8,40
HIST   28 Total,,18,8,2,,4,,,,,,8,40
HIST   32,FOUSER D C,5,8,5,1,,,,,,,5,24
HIST   32 Total,,5,8,5,1,,,,,,,5,24
HIST   33,REILLY B J,24,11,10,4,11,,,,,,14,74
HIST   33 Total,,24,11,10,4,11,,,,,,14,74
HIST   34,REILLY B J,13,19,9,3,19,,,,,,9,72
HIST   34 Total,,13,19,9,3,19,,,,,,9,72
HIST   43,MORENO M,14,9,5,,2,,,,,,14,44
HIST   43 Total,,14,9,5,,2,,,,,,14,44
HIST   47,BENNETT H M,4,3,5,1,1,,,,,,5,19
HIST   47 Total,,4,3,5,1,1,,,,,,5,19
HIST   52,"AMERIAN-DONNELL S
M",16,7,4,,3,,,,,,5,35
HIST   52 Total,,16,7,4,,3,,,,,,5,35
HIST   53,BOLELLI D,22,5,5,,5,,,1,1,,3,42
HIST   53 Total,,22,5,5,,5,,,1,1,,3,42
HIST   55,THOMASSON B A,11,7,6,3,1,,,,,,2,30
HIST   55 Total,,11,7,6,3,1,,,,,,2,30
HIST   88B,CHI J S,1,,,,,,,,,,,1
HIST   88B Total,,1,,,,,,,,,,,1
"",,790,695,369,111,329,,13,3,22,,463,2795
HEALTH 10,BARKER JR. D,7,12,11,,3,,,,,,8,41
"",CHAVEZ E C,25,6,2,,1,,,,,,5,39
"",HANK M E,44,16,3,,7,,,,,,9,79
"",KAUFMAN D,28,7,11,3,9,,2,,,,9,69
"",METZLER K A,54,15,4,4,6,,,,,,3,86
"",SEWELL L,8,10,8,2,9,,,,,,6,43
"",STRONG L M,27,17,10,11,4,,,,,,26,95
HEALTH 10 Total,,193,83,49,20,39,,2,,,,66,452
HEALTH 11,SHIMA T H,30,4,2,,1,,,,,,2,39
HEALTH 11 Total,,30,4,2,,1,,,,,,2,39
KIN PE  2,METZLER K A,25,4,,1,2,,,,,,2,34
KIN PE  3,METZLER K A,11,7,2,,2,,,,,,1,23
KIN PE  3 Total,,11,7,2,,2,,,,,,1,23
KIN PE  4,METZLER K A,20,9,3,4,6,,,,,,4,46
KIN PE  4 Total,,20,9,3,4,6,,,,,,4,46
KIN PE  5A,KALAFER F,23,4,,,,,,,,,3,30
KIN PE  5A Total,,23,4,,,,,,,,,3,30
KIN PE  5B,DUMITRIU E,21,1,,,,,,,,,,22
KIN PE  5B Total,,21,1,,,,,,,,,,22
KIN PE  5C,DUMITRIU E,12,,,,,,,,,,,12
KIN PE  5C Total,,12,,,,,,,,,,,12
KIN PE  9A,BARNETT R T,32,4,1,2,2,,,,,,5,46
KIN PE  9A Total,,32,4,1,2,2,,,,,,5,46
KIN PE  9B,ROTH L M,9,5,1,,4,,,,,,1,20
KIN PE  9B Total,,9,5,1,,4,,,,,,1,20
KIN PE  9C,SHICKMAN T D,16,1,2,1,2,,,,,,3,25
KIN PE  9C Total,,16,1,2,1,2,,,,,,3,25
KIN PE 10A,BARNETT R T,18,,,1,,,,,,,8,27
"",FISHER JE,27,7,,,,,,,,,10,44
"",GEE M J,20,,,,,,,,,,4,24
"",ROTH L M,7,8,6,,1,,,,,,4,26
"",THOMAS J L,13,4,3,2,1,,,,,,4,27
KIN PE 10A Total,,85,19,9,3,2,,,,,,30,148
KIN PE 10C,ANKENY K L,14,8,2,1,2,,,,,,5,32
"",OCAMPO J M,15,1,2,3,,,,,,,2,23
KIN PE 10C Total,,29,9,4,4,2,,,,,,7,55
KIN PE 11A,ANKENY K L,23,1,1,,1,,,,,,4,30
"",BARNETT R T,16,,,,,,,,,,10,26
KIN PE 11A Total,,39,1,1,,1,,,,,,14,56
KIN PE 11B,BARNETT R T,17,1,1,,,,1,,,,4,24
"",SEYMOUR P S,12,2,,,,,,,,,2,16
"",SHICKMAN T D,15,3,1,1,2,,,,,,2,24
KIN PE 11B Total,,44,6,2,1,2,,1,,,,8,64
KIN PE 11C,BARNETT R T,38,,1,2,2,,1,,,,8,52
KIN PE 11C Total,,53,1,1,2,2,,1,,1,,13,74
KIN PE 11N,BARKER JR. D,23,2,1,,,,,,,,2,28
KIN PE 11N Total,,23,2,1,,,,,,,,2,28
KIN PE 14,OCAMPO J M,13,1,,,1,,,1,,,1,17
KIN PE 14 Total,,13,1,,,1,,,1,,,1,17
KIN PE 14B,OCAMPO J M,7,,,,1,,,,,,6,14
KIN PE 14B Total,,7,,,,1,,,,,,6,14
